Year,InterestRate
1976,6.50
1977,6.00
1978,6.75
1979,7.79
1980,8.43
1981,8.92
1982,9.54
1983,9.98
1984,10.24
1985,9.43
1986,9.96
1987,13.96
1988,16.62
1989,20.44
1990,25.30
1991,20.04
1992,24.76
1993,31.65
1994,20.48
1995,20.23
1996,19.84
1997,17.80
1998,18.18
1999,20.29
2000,21.27
2001,23.44
2002,24.77
2003,20.71
2004,19.18
2005,17.95
2006,16.90
2007,16.94
2008,15.48
2009,18.36
2010,17.59
1995,20.81
1996,20.81
1997,18.92
1998,19.92
1999,21.63
2000,20.77
2001,21.10
2002,21.00
2003,21.00
2004,21.00
2005,21.04
2006,21.08
2007,21.87
2008,21.54
2009,19.25
2010,19.25